field_1,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
"4459","24555290",Ponte Do Goio Bang,Águas Paraná,H,-52.90139,-24.55444,,2014/02/04
"4703","24575280",Campina da Lagoa,Inmet,M,-52.80026,-24.57086,598,2016/08/04
"4704","25365239",Laranjeiras do Sul,Inmet,M,-52.39194,-25.36894,835,2016/08/07
"4875","25445363",CAPITÃO LEÔNIDAS MARQUES - Bom Jesus,CEMADEN,P,-53.633,-25.438,,2014/07/25
"4876","25485361",CAPITÃO LEÔNIDAS MARQUES - Rua Catanduvas,CEMADEN,P,-53.606,-25.481,,2014/07/25
"4882","25005346",CASCAVEL - Centro,CEMADEN,P,-53.46367,-24.99532,,2015/02/23
"4883","24925344",CASCAVEL - Tarumã,CEMADEN,P,-53.4352,-24.9202,,2015/02/23
"4895","24965346",CASCAVEL - Un. de á Centro,CEMADEN,P,-53.45782,-24.9571,,2015/02/23
"4929","25755305",DOIS VIZINHOS - Prefeitura Municipal,CEMADEN,P,-53.05351,-25.74991,,2015/02/23
"4982","25105287",GUARANIAÇU - Centro,CEMADEN,P,-52.866,-25.1,,2014/07/25
"226","26275268",PATO BRANCO - Alvorada,CEMADEN,P,-52.683,-26.267,,2014/07/25
"229","26205269",PATO BRANCO - Fraron,CEMADEN,P,-52.692,-26.198,,2014/07/25
"230","26235267",PATO BRANCO - Centro,CEMADEN,P,-52.673,-26.228,,2014/07/25
"321","26735272",QUILOMBO - Centro,CEMADEN,P,-52.71834,-26.72645,,2015/02/28
"467","26775350",São Miguel do Oeste,Epagri/Ciram,M,-53.50389,-26.77611,700,2014/01/01
"513","26285364",Dionísio Cerqueira,Epagri/Ciram,M,-53.63278,-26.28639,810,2014/01/01
"518","26855287",MB-Águas Frias - BRUSCHI,Epagri/Ciram,H,-52.87361,-26.85806,302,2014/01/07
"554","26125265",Pato Branco,Iapar,M,-52.65192,-26.12338,716,2015/08/01
"555","26085306",Francisco Beltrão,Iapar,M,-53.06419,-26.08391,628,2015/08/01
"581","25725375",Planalto,Iapar,M,-53.74788,-25.72189,400,2015/08/01
"689","25345435",Porto Capanema,Simepar,H,-53.7923,-25.6154,234,1997/06/01
"778","26085307",Eta Francisco Beltrão,Águas Paraná,H,-53.07481,-26.08142,,2013/07/15
"909","26235271",PATO BRANCO - São João,CEMADEN,P,-52.713,-26.234,,2014/07/25
"1276","26745353",SÃO MIGUEL DO OESTE - São Luiz,CEMADEN,P,-53.52583,-26.73799,,2015/02/22
"1477","26155302",Eta Marmeleiro,Águas Paraná,H,-53.02388,-26.15827,625,2013/07/15
"2123","26685275",QUILOMBO - Interior,CEMADEN,P,-52.74678,-26.68023,,2015/03/07
"2453","26075306",Bombeiros Francisco Beltrão,Águas Paraná,H,-53.06369,-26.07353,,2016/09/21
"2575","26445383",São Miguel do Oeste,Inmet,M,-53.50454,-26.7767,654.51,2008/03/12
"3004","26405285",Novo Horizonte,Inmet,M,-52.85037,-26.4065,943.57,2008/09/20
"3083","26285363",Dionísio Cerqueira,Inmet,M,-53.63311,-26.28656,807.54,2008/06/02
"3098","23435346",Planalto,Inmet,M,-53.74792,-25.72186,399.1,2007/11/07
"3360","26075241",Pato Branco,Simepar,M,-52.6514,-26.1229,721.8,1997/06/01
"3477","26055305",Francisco Beltrão,Simepar,M,-53.06548,-26.0593,652,2010/09/02
"4150","88888888",Pato Branco velha,Copel,M,-52.6833,-26.1166,721.8,2001/04/18
"4810","26195360",BOM JESUS DO SUL - Centro,CEMADEN,P,-53.60245,-26.19174,,2015/02/20
"4855","26405309",CAMPO ERÊ - Prefeitura Municipal,CEMADEN,P,-53.0854,-26.3985,,2015/02/24
"4927","26265364",DIONÍSIO CERQUEIRA - Prefeitura Municipal,CEMADEN,P,-53.63747,-26.26219,,2015/02/28
"4951","26045306",FRANCISCO BELTRÃO - Pinheirinho,CEMADEN,P,-53.06013,-26.04632,,2015/02/24
"4952","26075307",FRANCISCO BELTRÃO - São Miguel,CEMADEN,P,-53.07376,-26.06924,,2015/02/24
"4957","26445269",GALVÃO - Escola Linha Santin,CEMADEN,P,-52.68857,-26.43919,,2015/03/02
"4958","26455269",GALVÃO - Esperança,CEMADEN,P,-52.68987,-26.45139,,2015/02/28
"5050","26765317",MARAVILHA - Centro Adm. Municipal,CEMADEN,P,-53.17418,-26.76057,,2015/02/23
"5060","26455351",SÃO JOSÉ DO CEDRO - São Cristovão,CEMADEN,P,-53.50752,-26.45164,,2015/02/20
"3530","24385115",Cândido de Abreu,Simepar,M,-51.2452,-24.6321,645,1997/06/01
"86","24775376",PCH São Francisco Montante 2,PCH São Francisco,H,-53.76094,-24.77915,,2015/10/28
"722","24715394",PCH São Francisco Jusante,PCH São Francisco,H,-53.94421,-24.71884,,2011/02/09
"3670","25115382",Céu Azul / Boa Vista,SimeparTorres,M,-53.82139,-25.1188,,2015/12/08
"4499","24745386",PCH São Francisco Montante 1,PCH São Francisco,H,-53.85557,-24.74298,,2011/02/10
"4500","24735389",PCH São Francisco Barramento,PCH São Francisco,H,-53.89309,-24.73323,,2011/02/05
"237","25355424",SÃO MIGUEL DO IGUAÇU- Centro,CEMADEN,P,-54.245,-25.349,,2014/07/25
"238","25375427",SÃO MIGUEL DO IGUAÇU- Rua Noé N. de Medeiros,CEMADEN,P,-54.27,-25.37306,,2014/08/12
"1003","25435458",Foz do Iguaçu - Itaipu,Simepar,M,-54.58286,-25.4361,168,2017/05/09
"1178","25345422",SÃO MIGUEL DO IGUAÇU - Barro Branco,CEMADEN,P,-54.222,-25.344,,2014/08/11
"2306","24235332",Assis Chateaubriand,Simepar,M,-53.5411,-24.3886,450,1999/08/19
"2683","25415426",Salto Cataratas,Simepar,H,-54.4333,-25.6833,234,1997/06/01
"3079","23605449",Foz do Iguaçu,Inmet,M,-54.48307,-25.60183,235.09,2008/06/15
"3351","25245437",Foz do Iguaçu,Simepar,M,-54.6167,-25.4059,232,1997/07/19
"3552","25115408",São Miguel do Iguaçu,Simepar,M,-54.2546,-25.3528,298,1997/06/01
"3728","25685442",Hotel Cataratas - Copel,Simepar,H,-54.42925,-25.68317,215,2015/03/12
"4057","24505420",Santa Helena,Simepar,M,-54.3103,-24.9168,271,1997/07/21
"4711","25355425",SÃO MIGUEL DO IGUAÇU- Tributario do Paraná Lago Itaipu,CEMADEN,H,-54.2505,-25.3461,,2017/01/01
"5104","25535454",FOZ DO IGUAÇU - São Miguel,CEMADEN,P,-54.54101,-25.53406,,2017/10/04
"5518","25475458",FOZ DO IGUAÇU - Porto Belo,CEMADEN,P,-54.58558,-25.47005,,2017/10/04
"5560","25575457",FOZ DO IGUAÇU - Vila Boa Esperança,CEMADEN,P,-54.57014,-25.57402,,2017/10/05
